name,rating,reviews,latitude,longitude,url,category,location
Kebangkitan Nasional Museum,4.7,1.0,-6.178692,106.8380024,https://www.google.com/maps/place/Kebangkitan+Nasional+Museum/data=!4m7!3m6!1s0x2e69f434569482cb:0xf63185f968d128ab!8m2!3d-6.178692!4d106.8380024!16s%2Fm%2F04drtbj!19sChIJy4KUVjT0aS4RqyjRaPmFMfY,Sejarah & Budaya,Jakarta Pusat
Kebangkitan Nasional Museum,4.7,1.0,-6.178692,106.8380024,https://www.google.com/maps/place/Kebangkitan+Nasional+Museum/data=!4m7!3m6!1s0x2e69f434569482cb:0xf63185f968d128ab!8m2!3d-6.178692!4d106.8380024!16s%2Fm%2F04drtbj!19sChIJy4KUVjT0aS4RqyjRaPmFMfY,Sejarah & Budaya,Jakarta Selatan
Kebangkitan Nasional Museum,4.7,1.0,-6.178692,106.8380024,https://www.google.com/maps/place/Kebangkitan+Nasional+Museum/data=!4m7!3m6!1s0x2e69f434569482cb:0xf63185f968d128ab!8m2!3d-6.178692!4d106.8380024!16s%2Fm%2F04drtbj!19sChIJy4KUVjT0aS4RqyjRaPmFMfY,Sejarah & Budaya,Jakarta Timur
Masjid Agung Al-Munada Darussalam Baiturrahman (Masjid Perahu),4.7,545.0,-6.2235459,106.845931,https://www.google.com/maps/place/Masjid+Agung+Al-Munada+Darussalam+Baiturrahman+%28Masjid+Perahu%29/data=!4m7!3m6!1s0x2e69f38c6e51be31:0xd77f74c6cc0d0fc6!8m2!3d-6.2235459!4d106.845931!16s%2Fg%2F11cp74jnvv!19sChIJMb5RbozzaS4Rxg8NzMZ0f9c,Sejarah & Budaya,Jakarta Barat
Museum Sumpah Pemuda,4.7,1297.0,-6.1838388,106.8430507,https://www.google.com/maps/place/Museum+Sumpah+Pemuda/data=!4m7!3m6!1s0x2e69f448497eae29:0x6f890df278af3c65!8m2!3d-6.1838388!4d106.8430507!16s%2Fg%2F120qwcwd!19sChIJKa5-SUj0aS4RZTyvePINiW8,Sejarah & Budaya,Jakarta Timur
Museum Sumpah Pemuda,4.7,1297.0,-6.1838388,106.8430507,https://www.google.com/maps/place/Museum+Sumpah+Pemuda/data=!4m7!3m6!1s0x2e69f448497eae29:0x6f890df278af3c65!8m2!3d-6.1838388!4d106.8430507!16s%2Fg%2F120qwcwd!19sChIJKa5-SUj0aS4RZTyvePINiW8,Sejarah & Budaya,Jakarta Selatan
Museum Sumpah Pemuda,4.7,1297.0,-6.1838388,106.8430507,https://www.google.com/maps/place/Museum+Sumpah+Pemuda/data=!4m7!3m6!1s0x2e69f448497eae29:0x6f890df278af3c65!8m2!3d-6.1838388!4d106.8430507!16s%2Fg%2F120qwcwd!19sChIJKa5-SUj0aS4RZTyvePINiW8,Sejarah & Budaya,Jakarta Pusat
Antara Gallery of Photo Journalism,4.5,172.0,-6.1654855,106.8340188,https://www.google.com/maps/place/Antara+Gallery+of+Photo+Journalism/data=!4m7!3m6!1s0x2e69f5cf64ddae31:0xcafb10be4cdaf3c8!8m2!3d-6.1654855!4d106.8340188!16s%2Fg%2F1s0547pjv!19sChIJMa7dZM_1aS4RyPPaTL4Q-8o,Sejarah & Budaya,Jakarta Barat
Antara Gallery of Photo Journalism,4.5,172.0,-6.1654855,106.8340188,https://www.google.com/maps/place/Antara+Gallery+of+Photo+Journalism/data=!4m7!3m6!1s0x2e69f5cf64ddae31:0xcafb10be4cdaf3c8!8m2!3d-6.1654855!4d106.8340188!16s%2Fg%2F1s0547pjv!19sChIJMa7dZM_1aS4RyPPaTL4Q-8o,Sejarah & Budaya,Jakarta Pusat
Museum Layang-layang Indonesia,4.6,1939.0,-6.3079652,106.790621,https://www.google.com/maps/place/Museum+Layang-layang+Indonesia/data=!4m7!3m6!1s0x2e69ee2000d43c8f:0xb04581a01e99f973!8m2!3d-6.3079652!4d106.790621!16s%2Fg%2F1q5gpjkvb!19sChIJjzzUACDuaS4Rc_mZHqCBRbA,Sejarah & Budaya,Jakarta Selatan
