No,Nama Tempat,Rating,Ulasan,Kategori Wisata,Lokasi,URL,latitude,longitude,No Klaster,Klaster OPTICS
1,Taman Mini Indonesia Indah,4.6,173725,Sejarah & Budaya,Jakarta Timur,https://www.google.com/maps/place/Taman+Mini+Indonesia+Indah/data=!4m7!3m6!1s0x2e69ed50d076a261:0x73127b9ecf2da0c!8m2!3d-6.3044926!4d106.8893388!16zL20vMDhiaHFr!19sChIJYaJ20FDtaS4RDNry7LknMQc,-6.3044926,106.8893388,7,Wisata Sangat Populer
2,National Monument,4.6,121661,Sejarah & Budaya,Jakarta Pusat,https://www.google.com/maps/place/National+Monument/data=!4m7!3m6!1s0x2e69f5d2e764b12d:0x3d2ad6e1e0e9bcc8!8m2!3d-6.1753083!4d106.8271106!16zL20vMDNxN2hz!19sChIJLbFk59L1aS4RyLzp4OHWKj0,-6.1753083,106.8271106,7,Wisata Sangat Populer
3,Ragunan Zoo,4.5,115431,Alam & Ruang Terbuka,Jakarta Selatan,https://www.google.com/maps/place/Ragunan+Zoo/data=!4m7!3m6!1s0x2e69edfdb17f7b7d:0xf9dd2a3f5ab5069a!8m2!3d-6.3066904!4d106.8190199!16zL20vMDdfZmRo!19sChIJfXt_sf3taS4Rmga1Wj8q3fk,-6.3066904,106.8190199,7,Wisata Sangat Populer
4,Kota Kasablanka,4.6,110266,Belanja,Jakarta Selatan,https://www.google.com/maps/place/Kota+Kasablanka/data=!4m7!3m6!1s0x2e69f38d200f03e5:0xaf54cb631563acce!8m2!3d-6.2240299!4d106.8424799!16s%2Fg%2F1yjg8182b!19sChIJ5QMPII3zaS4RzqxjFWPLVK8,-6.2240299,106.8424799,7,Wisata Sangat Populer
5,Central Park Mall,4.7,106799,Belanja,Jakarta Barat,https://www.google.com/maps/place/Central+Park+Mall/data=!4m7!3m6!1s0x2e69f6f5802f381d:0xe816d65037c3207a!8m2!3d-6.1771373!4d106.7909788!16s%2Fm%2F0cc6h_j!19sChIJHTgvgPX2aS4ReiDDN1DWFug,-6.1771373,106.7909788,7,Wisata Sangat Populer
6,Grand Indonesia,4.7,102727,Belanja,Jakarta Pusat,https://www.google.com/maps/place/Grand+Indonesia/data=!4m7!3m6!1s0x2e69f421c2ebd463:0xccfcc89b95aaf1ae!8m2!3d-6.1953681!4d106.8204181!16zL20vMGYwMDc4!19sChIJY9TrwiH0aS4RrvGqlZvI_Mw,-6.1953681,106.8204181,7,Wisata Sangat Populer
7,Pondok Indah Mall 1,4.6,82883,Belanja,Jakarta Selatan,https://www.google.com/maps/place/Pondok+Indah+Mall+1/data=!4m7!3m6!1s0x2e69f1a5f4fbee47:0x682837113c4ea854!8m2!3d-6.2652166!4d106.7843165!16zL20vMGd3NWI2!19sChIJR-779KXxaS4RVKhOPBE3KGg,-6.2652166,106.7843165,7,Wisata Sangat Populer
8,Summarecon Mall Kelapa Gading,4.6,79934,Belanja,Jakarta Utara,https://www.google.com/maps/place/Summarecon+Mall+Kelapa+Gading/data=!4m7!3m6!1s0x2e69f54bbca6c649:0x1c1a278e20ff1c47!8m2!3d-6.1574441!4d106.9084598!16zL20vMGRycXgy!19sChIJScamvEv1aS4RRxz_II4nGhw,-6.1574441,106.9084598,7,Wisata Sangat Populer
9,Dufan Ancol,4.6,79201,Sejarah & Budaya,Jakarta Utara,https://www.google.com/maps/place/Dufan+Ancol/data=!4m7!3m6!1s0x2e6a1e1a80420c57:0x275b93253d2232e3!8m2!3d-6.1253116!4d106.8335432!16s%2Fm%2F0b65fpr!19sChIJVwxCgBoeai4R4zIiPSWTWyc,-6.1253116,106.8335432,7,Wisata Sangat Populer
10,Gandaria City,4.6,73684,Belanja,Jakarta Selatan,https://www.google.com/maps/place/Gandaria+City/data=!4m7!3m6!1s0x2e69f1175b92614f:0x6173704d396d5a99!8m2!3d-6.2441079!4d106.7838696!16s%2Fg%2F1yjg7_2s8!19sChIJT2GSWxfxaS4RmVptOU1wc2E,-6.2441079,106.7838696,7,Wisata Sangat Populer
